,A2C Agent 1,A2C Agent 2,SAC Agent 1,SAC Agent 2,Mean Var,djia
2025-03-07 20:30:00+00:00,835660.8465032962,835660.8465032962,859694.3466173401,859694.3466173401,795722.4875693159,955251.2117067447
2025-03-10 13:30:00+00:00,801079.3923406985,801079.3923406985,824114.4532762757,824114.4532762757,762789.5892987064,947407.0530723457
2025-03-10 14:30:00+00:00,798068.6631842044,798068.6631842044,821016.7980486145,821016.7980486145,759922.3866482632,947117.0421607505
2025-03-10 15:30:00+00:00,801232.0748358157,801232.0748358157,824271.544035553,824271.544035553,762934.9931633257,943877.6569001757
2025-03-10 16:30:00+00:00,793635.4986639407,793635.4986639407,816455.6387621155,816455.6387621155,755700.5585124,940075.1656663354
2025-03-10 17:30:00+00:00,791411.1974554447,791411.1974554447,814167.1173082582,814167.1173082582,753582.2934713127,935328.3514702054
2025-03-10 18:30:00+00:00,790595.1377935794,790595.1377935794,813327.496290802,813327.496290802,752805.136741564,934622.5943089152
2025-03-10 19:30:00+00:00,793338.2767401126,793338.2767401126,816149.8354173889,816149.8354173889,755417.5056559411,935537.0965460798
2025-03-11 13:30:00+00:00,788075.7635260014,788075.7635260014,810735.3823992006,810735.3823992006,750405.8652687791,925097.139704168
2025-03-11 14:30:00+00:00,807235.7767401126,807235.7767401126,830448.5854173889,830448.5854173889,768652.4885332896,925085.5427555082
2025-03-11 15:30:00+00:00,806679.8993597415,806679.8993597415,829876.658690094,829876.658690094,768123.110759509,923837.2576651906
2025-03-11 16:30:00+00:00,797340.7635260014,797340.7635260014,820267.8823992006,820267.8823992006,759229.1871870116,919404.7818143104
2025-03-11 17:30:00+00:00,818613.2238836673,818613.2238836673,842154.523344635,842154.523344635,779487.553698455,927290.968488213
2025-03-11 18:30:00+00:00,821419.4150457765,821419.4150457765,845041.7351366271,845041.7351366271,782159.9690235914,928896.0559387974
2025-03-11 19:30:00+00:00,805345.7370977786,805345.7370977786,828503.9763628235,828503.9763628235,766852.5502491522,924729.9611266793
2025-03-12 13:30:00+00:00,849892.6080694582,849892.6080694582,874337.009016632,874337.009016632,809275.7972036143,921971.1952722118
2025-03-12 14:30:00+00:00,848854.1974554447,848854.1974554447,873268.6173082582,873268.6173082582,808286.8893643536,919769.3445387179
2025-03-12 15:30:00+00:00,858675.0748358157,858675.0748358157,883373.044035553,883373.044035553,817639.5890563666,923963.6033690096
2025-03-12 16:30:00+00:00,860750.425787964,860750.425787964,885508.3147264709,885508.3147264709,819616.0045495252,926859.875900442
2025-03-12 17:30:00+00:00,856599.7238836673,856599.7238836673,881237.773344635,881237.773344635,815663.1735632078,925212.0628495325
2025-03-12 18:30:00+00:00,855821.4390020756,855821.4390020756,880437.0177446596,880437.0177446596,814921.9908266318,924749.5800247878
2025-03-12 19:30:00+00:00,857970.925787964,857970.925787964,882648.5647264709,882648.5647264709,816969.0079740555,922927.8999390855
2025-03-13 13:30:00+00:00,864752.9125738528,864752.9125738528,889626.3617082825,889626.3617082825,823427.6860805957,920859.7192980376
2025-03-13 14:30:00+00:00,860491.0351934816,860491.0351934816,885241.4349809875,885241.4349809875,819368.979539522,915852.7149154373
2025-03-13 15:30:00+00:00,858867.0589361574,858867.0589361574,883570.5711199035,883570.5711199035,817822.4209528045,912329.4224004567
2025-03-13 16:30:00+00:00,854450.2370977786,854450.2370977786,879026.2263628235,879026.2263628235,813616.1564157839,910687.4514214284
2025-03-13 17:30:00+00:00,866939.4390020756,866939.4390020756,891876.0177446596,891876.0177446596,825509.9771285107,912282.5114352017
2025-03-13 18:30:00+00:00,859935.1012640382,859935.1012640382,884669.4500719298,884669.4500719298,818839.5479124582,911304.6183583708
2025-03-13 19:30:00+00:00,857748.5748358157,857748.5748358157,882419.794035553,882419.794035553,816757.2568645433,911035.1854910139
2025-03-14 13:30:00+00:00,886024.6377935794,886024.6377935794,911512.246290802,911512.246290802,843685.3524993578,917415.9487167235
2025-03-14 14:30:00+00:00,896439.2238836673,896439.2238836673,922227.523344635,922227.523344635,853603.4578116072,923182.7712242907
2025-03-14 15:30:00+00:00,893363.2370977786,893363.2370977786,919062.7263628235,919062.7263628235,850674.1084723601,921862.4629791393
2025-03-14 16:30:00+00:00,893585.5880499271,893585.5880499271,919291.4970537416,919291.4970537416,850885.8595818725,924210.0167292524
2025-03-14 17:30:00+00:00,891584.3729315188,891584.3729315188,917232.5026537171,917232.5026537171,848980.0457429787,922880.2914130088
2025-03-14 18:30:00+00:00,893882.0748358157,893882.0748358157,919596.544035553,919596.544035553,851168.2123456497,924676.7721140295
2025-03-14 19:30:00+00:00,900293.4390020756,900293.4390020756,926193.0177446596,926193.0177446596,857273.9360341474,925734.8846853486
2025-03-17 13:30:00+00:00,886099.5087652591,886099.5087652591,911589.2789446106,911589.2789446106,843756.6542463044,929867.5837731309
2025-03-17 14:30:00+00:00,884320.5880499271,884320.5880499271,909758.9970537416,909758.9970537416,842062.53766364,930854.6323357458
2025-03-17 15:30:00+00:00,877428.1609259036,877428.1609259036,902667.571089386,902667.571089386,835498.6840950252,930500.794608971
2025-03-17 16:30:00+00:00,883430.3925543216,883430.3925543216,908843.0997453919,908843.0997453919,841214.7792796262,932935.2818764804
2025-03-17 17:30:00+00:00,893252.0616217044,893252.0616217044,918948.3410173645,918948.3410173645,850568.2329176039,936408.7859878168
2025-03-17 18:30:00+00:00,892247.0149603274,892247.0149603274,917914.2765489807,917914.2765489807,849611.0985154265,937188.6589864058
2025-03-17 19:30:00+00:00,885691.8465032962,885691.8465032962,911169.8466173401,911169.8466173401,843368.4259277709,934062.1041887307
2025-03-18 13:30:00+00:00,858712.1144781497,858712.1144781497,883411.1530901184,883411.1530901184,817674.8629568575,930145.212980142
2025-03-18 14:30:00+00:00,865494.1012640382,866455.84830765,890388.9500719298,890527.8183891298,824133.5410633975,926494.9643956238
